fecha,tipo_recurso,plazo,afore,monto
2019-12-01,sb pensiones promedio ponderado,12 meses,sb pensiones promedio ponderado,7.174
2020-01-01,sb pensiones promedio ponderado,12 meses,sb pensiones promedio ponderado,7.4482
2020-02-01,sb pensiones promedio ponderado,12 meses,sb pensiones promedio ponderado,7.6127
2020-03-01,sb pensiones promedio ponderado,12 meses,sb pensiones promedio ponderado,6.7287
2020-04-01,sb pensiones promedio ponderado,12 meses,sb pensiones promedio ponderado,6.9632
2020-05-01,sb pensiones promedio ponderado,12 meses,sb pensiones promedio ponderado,8.4291
2020-06-01,sb pensiones promedio ponderado,12 meses,sb pensiones promedio ponderado,9.2752
2020-07-01,sb pensiones promedio ponderado,12 meses,sb pensiones promedio ponderado,9.3918
2020-08-01,sb pensiones promedio ponderado,12 meses,sb pensiones promedio ponderado,9.3566
2020-09-01,sb pensiones promedio ponderado,12 meses,sb pensiones promedio ponderado,9.1466
2020-10-01,sb pensiones promedio ponderado,12 meses,sb pensiones promedio ponderado,8.4248
2020-11-01,sb pensiones promedio ponderado,12 meses,sb pensiones promedio ponderado,8.0591
2020-12-01,sb pensiones promedio ponderado,12 meses,sb pensiones promedio ponderado,8.7687
2021-01-01,sb pensiones promedio ponderado,12 meses,sb pensiones promedio ponderado,9.5166
2021-02-01,sb pensiones promedio ponderado,12 meses,sb pensiones promedio ponderado,7.9322
2021-03-01,sb pensiones promedio ponderado,12 meses,sb pensiones promedio ponderado,6.2507
2021-04-01,sb pensiones promedio ponderado,12 meses,sb pensiones promedio ponderado,6.3233
2021-05-01,sb pensiones promedio ponderado,12 meses,sb pensiones promedio ponderado,4.909
2021-06-01,sb pensiones promedio ponderado,12 meses,sb pensiones promedio ponderado,3.1656
2021-07-01,sb pensiones promedio ponderado,12 meses,sb pensiones promedio ponderado,3.1382
2021-08-01,sb pensiones promedio ponderado,12 meses,sb pensiones promedio ponderado,3.2238
2021-09-01,sb pensiones promedio ponderado,12 meses,sb pensiones promedio ponderado,2.5474
2021-10-01,sb pensiones promedio ponderado,12 meses,sb pensiones promedio ponderado,3.3196
2021-11-01,sb pensiones promedio ponderado,12 meses,sb pensiones promedio ponderado,3.2754
2021-12-01,sb pensiones promedio ponderado,12 meses,sb pensiones promedio ponderado,3.3646
2022-01-01,sb pensiones promedio ponderado,12 meses,sb pensiones promedio ponderado,0.7967
2022-02-01,sb pensiones promedio ponderado,12 meses,sb pensiones promedio ponderado,1.4897
2022-03-01,sb pensiones promedio ponderado,12 meses,sb pensiones promedio ponderado,3.9228
2022-04-01,sb pensiones promedio ponderado,12 meses,sb pensiones promedio ponderado,2.47
2022-05-01,sb pensiones promedio ponderado,12 meses,sb pensiones promedio ponderado,2.5783
2022-06-01,sb pensiones promedio ponderado,12 meses,sb pensiones promedio ponderado,3.0684
2022-07-01,sb pensiones promedio ponderado,12 meses,sb pensiones promedio ponderado,3.749
2022-08-01,sb pensiones promedio ponderado,12 meses,sb pensiones promedio ponderado,3.0344
2022-09-01,sb pensiones promedio ponderado,12 meses,sb pensiones promedio ponderado,2.0213
2022-10-01,sb pensiones promedio ponderado,12 meses,sb pensiones promedio ponderado,1.9589
2022-11-01,sb pensiones promedio ponderado,12 meses,sb pensiones promedio ponderado,2.9721
2022-12-01,sb pensiones promedio ponderado,12 meses,sb pensiones promedio ponderado,3.5862
2023-01-01,sb pensiones promedio ponderado,12 meses,sb pensiones promedio ponderado,5.8152
2023-02-01,sb pensiones promedio ponderado,12 meses,sb pensiones promedio ponderado,4.9023
2023-03-01,sb pensiones promedio ponderado,12 meses,sb pensiones promedio ponderado,5.6804
2023-04-01,sb pensiones promedio ponderado,12 meses,sb pensiones promedio ponderado,6.1001
2023-05-01,sb pensiones promedio ponderado,12 meses,sb pensiones promedio ponderado,5.9961
2023-06-01,sb pensiones promedio ponderado,12 meses,sb pensiones promedio ponderado,6.5847
2023-07-01,sb pensiones promedio ponderado,12 meses,sb pensiones promedio ponderado,5.5959
2023-08-01,sb pensiones promedio ponderado,12 meses,sb pensiones promedio ponderado,4.8696
2023-09-01,sb pensiones promedio ponderado,12 meses,sb pensiones promedio ponderado,5.615
2023-10-01,sb pensiones promedio ponderado,12 meses,sb pensiones promedio ponderado,4.7805
2023-11-01,sb pensiones promedio ponderado,12 meses,sb pensiones promedio ponderado,7.7425
2023-12-01,sb pensiones promedio ponderado,12 meses,sb pensiones promedio ponderado,7.7996
2024-01-01,sb pensiones promedio ponderado,12 meses,sb pensiones promedio ponderado,6.9626
2024-02-01,sb pensiones promedio ponderado,12 meses,sb pensiones promedio ponderado,8.0375
2024-03-01,sb pensiones promedio ponderado,12 meses,sb pensiones promedio ponderado,5.9893
2024-04-01,sb pensiones promedio ponderado,12 meses,sb pensiones promedio ponderado,4.6562
2024-05-01,sb pensiones promedio ponderado,12 meses,sb pensiones promedio ponderado,5.5894
2024-06-01,sb pensiones promedio ponderado,12 meses,sb pensiones promedio ponderado,5.2288
2024-07-01,sb pensiones promedio ponderado,12 meses,sb pensiones promedio ponderado,6.363
2024-08-01,sb pensiones promedio ponderado,12 meses,sb pensiones promedio ponderado,8.7964
